# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	TURCHINID	TID	EDITID	SCAID	INFOMAPID	ALIGNMENT
1163	Tahitian	Tahitian (Modern)	tahi1242	1634	One Hundred	haanere	haanere	Clark-173-2005	102831	186			h aː n e r e	3 7 4 7 5 7	AXBYBZ	HANERE	9	9.H.C 9.A.V 9.N.C 9.E.V 9.R.C 9.E.V	2.0 1.5 1.75 1.3 1.75 0.8	haːnere	0	49	49	22	27	17	h aː n e r e
1164	Tahitian	Tahitian (Modern)	tahi1242	1634	One Hundred	rau	rau	Clark-173-2005	83359	518			r a u	5 7 7	AXZ	RAY	9	9.R.C 9.A.V 9.Y.V	2.0 1.5 0.8	rau	0	50	50	23	28	16	r a u
5608	Hawaiian	Hawaiian	hawa1245	1634	One Hundred	hanele	hanele	71458	251533	186			h a n e l e	3 7 4 7 5 7	AXBYBZ	HANELE	1	1.H.C 1.A.V 1.N.C 1.E.V 1.L.C 1.E.V	2.0 1.5 1.75 1.3 1.75 0.8	hanele	0	49	49	22	27	17	h a n e l e
1591	Rapanui	Rapanui (Easter Island)	rapa1244	1634	One Hundred	rau	rau	POLLEX	83373	518			r a u	5 7 7	AXZ	RAY	5	5.R.C 5.A.V 5.Y.V	2.0 1.5 0.8	rau	0	50	50	23	28	16	r a u
1848	Mangareva	Mangareva	mang1401	1634	One Hundred	rau	rau	POLLEX	321433	518		rau	r a u	5 7 7	AXZ	RAY	2	2.R.C 2.A.V 2.Y.V	2.0 1.5 0.8	rau	0	50	50	23	28	16	r a u
3073	Sikaiana	Sikaiana	sika1261	1634	One Hundred	lau	lau	POLLEX	83367	518			l a u	5 7 7	AXZ	LAY	8	8.L.C 8.A.V 8.Y.V	2.0 1.5 0.8	lau	0	50	50	23	28	16	l a u
3292	North_Marquesan	Marquesan	nort2845	1634	One Hundred	'au	'au	POLLEX	83352	518			ʔ a u	1 7 7	AXZ	HAY	4	4.H.C 4.A.V 4.Y.V	2.0 1.5 0.8	ʔau	0	52	52	23	30	16	ʔ a u
#
4388	Ra’ivavae	Ra'ivavae	aust1304	1843	One Thousand	mano	mano	Tamaititahio-1213-2015	291355	519			m a n o	4 7 4 7	AXBZ	MANU	6	6.M.C 6.A.V 6.N.C 6.U.V	2.0 1.5 1.75 0.8	mano	0	56	56	24	34	18	m a n o
4389	Ra’ivavae	Ra'ivavae	aust1304	1843	One Thousand	tauatini	tauatini	Tamaititahio-1213-2015	291354	187			t a u a t i n i	1 7 7 7 1 7 4 7	AXYYBYBZ	TAYATINI	6	6.T.C 6.A.V 6.Y.V 6.A.V 6.T.C 6.I.V 6.N.C 6.I.V	2.0 1.5 1.3 1.3 1.75 1.3 1.75 0.8	tauatini	0	60	60	24	38	19	t a u a t i n i
4588	Tuamotuan	Tuamotu	tuam1242	1843	One Thousand	mano	mano	POLLEX	83336	519			m a n o	4 7 4 7	AXBZ	MANU	10	10.M.C 10.A.V 10.N.C 10.U.V	2.0 1.5 1.75 0.8	mano	0	56	56	24	34	18	m a n o
718	Maori	Maori	maor1246	1843	One Thousand	mano	mano	Biggs-85-2005	83320	519			m a n o	4 7 4 7	AXBZ	MANU	3	3.M.C 3.A.V 3.N.C 3.U.V	2.0 1.5 1.75 0.8	mano	0	56	56	24	34	18	m a n o
5095	Rurutuan	Rurutuan	aust1304	1843	One Thousand	tauatini	tauatini	Meyer-128-2005	165155	187			t a u a t i n i	1 7 7 7 1 7 4 7	AXYYBYBZ	TAYATINI	7	7.T.C 7.A.V 7.Y.V 7.A.V 7.T.C 7.I.V 7.N.C 7.I.V	2.0 1.5 1.3 1.3 1.75 1.3 1.75 0.8	tauatini	0	60	60	24	38	19	t a u a t i n i
1161	Tahitian	Tahitian (Modern)	tahi1242	1843	One Thousand	tauatini	tauatini	Clark-173-2005	102832	187			t a u a t i n i	1 7 7 7 1 7 4 7	AXYYBYBZ	TAYATINI	9	9.T.C 9.A.V 9.Y.V 9.A.V 9.T.C 9.I.V 9.N.C 9.I.V	2.0 1.5 1.3 1.3 1.75 1.3 1.75 0.8	tauatini	0	60	60	24	38	19	t a u a t i n i
1162	Tahitian	Tahitian (Modern)	tahi1242	1843	One Thousand	mano	mano	Clark-173-2005	83327	519			m a n o	4 7 4 7	AXBZ	MANU	9	9.M.C 9.A.V 9.N.C 9.U.V	2.0 1.5 1.75 0.8	mano	0	56	56	24	34	18	m a n o
5607	Hawaiian	Hawaiian	hawa1245	1843	One Thousand	kaukani	kaukani	71458	251532	187			k a u k a n i	1 7 7 1 7 4 7	AXYBYBZ	KAYKANI	1	1.K.C 1.A.V 1.Y.V 1.K.C 1.A.V 1.N.C 1.I.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	kaukani	0	55	55	24	33	19	k a u - k a n i
1589	Rapanui	Rapanui (Easter Island)	rapa1244	1843	One Thousand	piere	piere	POLLEX	133596	396			p i e r e	1 7 7 5 7	AXYBZ	PIERE	5	5.P.C 5.I.V 5.E.V 5.R.C 5.E.V	2.0 1.5 1.3 1.75 0.8	piere	0	58	58	27	36	20	p i e r e
